,Station,Year,Month,Day,Hour,Temperature,Dew Point,Pressure,Wind Direction,Wind Speed,Sky Condition,Precipitation 6H
0,2003\010000,2003,1,9,6,-119,,,200,10,2,0
1,2003\010000,2003,1,20,18,-174,-239,10015,260,70,8,
2,2003\010000,2003,1,23,6,-101,,,340,130,9,
3,2003\010000,2003,4,11,12,18,9,,200,20,7,
4,2003\010000,2003,6,25,8,52,45,,130,10,8,
5,2003\010000,2003,7,26,18,132,,,40,30,3,0
6,2003\010000,2003,8,10,6,77,71,10032,180,50,9,
7,2003\010000,2003,8,27,6,106,67,10098,40,180,6,
8,2003\010000,2003,9,8,18,,,10156,230,30,4,
9,2003\010000,2003,10,14,12,62,30,10368,190,840,7,
10,2003\010000,2003,10,31,12,12,-18,,90,50,7,
11,2003\010000,2003,11,23,6,,,9924,110,10,3,
12,2003\010000,2003,12,6,18,8,-36,,250,90,2,
0,2003\010010,2003,1,1,0,0,-16,10127,80,80,3,
1,2003\010010,2003,1,1,1,0,-20,10126,90,90,,
2,2003\010010,2003,1,1,2,-3,-22,10125,90,90,,
3,2003\010010,2003,1,1,3,-4,-34,10125,360,20,,
4,2003\010010,2003,1,1,4,0,-18,10122,90,110,,
5,2003\010010,2003,1,1,5,-5,-24,10124,80,40,,
6,2003\010010,2003,1,1,6,2,-17,10125,120,60,7,
7,2003\010010,2003,1,1,7,1,-15,10123,130,40,,
8,2003\010010,2003,1,1,8,0,-16,10124,110,60,,
9,2003\010010,2003,1,1,9,0,-13,10122,120,40,7,
10,2003\010010,2003,1,1,10,2,-12,10121,120,50,,
11,2003\010010,2003,1,1,11,-2,-15,10120,220,20,,
12,2003\010010,2003,1,1,12,-3,-22,10123,210,30,7,
13,2003\010010,2003,1,1,13,-21,-42,10125,270,20,,
14,2003\010010,2003,1,1,14,-18,-34,10126,220,10,,
15,2003\010010,2003,1,1,15,-14,-32,10125,260,20,7,
16,2003\010010,2003,1,1,16,-11,-26,10124,20,10,,
17,2003\010010,2003,1,1,17,-7,-18,10123,320,20,,
18,2003\010010,2003,1,1,18,-3,-15,10123,340,10,7,
19,2003\010010,2003,1,1,19,0,-12,10123,130,30,,
20,2003\010010,2003,1,1,20,5,-15,10122,190,70,,
21,2003\010010,2003,1,1,21,9,-21,10120,200,80,,
22,2003\010010,2003,1,1,22,5,-39,10120,220,50,,
23,2003\010010,2003,1,1,23,5,-21,10117,180,80,,
24,2003\010010,2003,1,2,0,5,-39,10116,220,60,3,5
25,2003\010010,2003,1,2,1,5,-41,10115,220,70,,
26,2003\010010,2003,1,2,3,6,-38,10110,220,70,,
27,2003\010010,2003,1,2,4,8,-34,10102,210,90,,
28,2003\010010,2003,1,2,5,5,-33,10099,220,80,,
29,2003\010010,2003,1,2,6,7,-33,10096,220,100,4,
30,2003\010010,2003,1,2,7,8,-31,10092,210,110,,
31,2003\010010,2003,1,2,8,7,-33,10088,210,110,,
32,2003\010010,2003,1,2,9,6,-35,10086,200,110,7,
33,2003\010010,2003,1,2,10,7,-36,10081,210,120,,
34,2003\010010,2003,1,2,11,7,-35,10077,210,120,,
35,2003\010010,2003,1,2,12,-2,-21,10075,220,90,7,
36,2003\010010,2003,1,2,13,-6,-16,10069,220,80,,
37,2003\010010,2003,1,2,14,-7,-23,10067,230,90,,
38,2003\010010,2003,1,2,15,-6,-16,10062,220,80,8,
39,2003\010010,2003,1,2,16,-3,-18,10056,220,80,,
40,2003\010010,2003,1,2,17,6,-22,10049,220,110,,
41,2003\010010,2003,1,2,18,6,-30,10046,220,100,8,
42,2003\010010,2003,1,2,19,6,-30,10042,220,100,,
43,2003\010010,2003,1,2,20,8,-24,10033,210,130,,
44,2003\010010,2003,1,2,21,7,-26,10027,210,150,,
45,2003\010010,2003,1,2,22,10,-24,10022,210,140,,
46,2003\010010,2003,1,2,23,7,-16,10015,210,150,,
47,2003\010010,2003,1,3,0,-13,-24,10013,280,90,9,3
48,2003\010010,2003,1,3,1,-17,-38,10011,280,110,,
49,2003\010010,2003,1,3,2,-21,-54,10014,240,80,,
50,2003\010010,2003,1,3,3,-28,-69,10007,270,100,,
51,2003\010010,2003,1,3,4,-30,-67,10011,270,80,,
52,2003\010010,2003,1,3,5,-37,-87,10010,270,60,,
53,2003\010010,2003,1,3,6,-45,-88,10013,290,70,7,
54,2003\010010,2003,1,3,7,-60,-121,10020,340,70,,
55,2003\010010,2003,1,3,8,-64,-136,10026,320,60,,
56,2003\010010,2003,1,3,9,-59,-129,10026,260,50,3,
57,2003\010010,2003,1,3,10,-52,-92,10024,250,80,,
58,2003\010010,2003,1,3,11,-56,-115,10021,260,100,,
59,2003\010010,2003,1,3,12,-65,-122,10026,270,60,6,
60,2003\010010,2003,1,3,13,-77,-122,10031,340,70,,
61,2003\010010,2003,1,3,14,-83,-135,10038,350,80,,
62,2003\010010,2003,1,3,15,-75,-130,10037,10,60,6,
63,2003\010010,2003,1,3,16,-67,-119,10031,320,50,,
64,2003\010010,2003,1,3,17,-64,-96,10024,260,50,,
65,2003\010010,2003,1,3,18,-60,-72,10011,260,80,8,
66,2003\010010,2003,1,3,19,-57,-65,10005,270,80,,
67,2003\010010,2003,1,3,20,-49,-58,10006,360,120,,
68,2003\010010,2003,1,3,21,-54,-79,10021,350,100,,
69,2003\010010,2003,1,3,22,-52,-93,10030,360,120,,
70,2003\010010,2003,1,3,23,-49,-87,10032,360,100,,
71,2003\010010,2003,1,4,0,-44,-72,10037,340,70,8,10
72,2003\010010,2003,1,4,1,-24,-39,10037,340,80,,
73,2003\010010,2003,1,4,2,-8,-24,10048,340,110,,
74,2003\010010,2003,1,4,3,1,-23,10060,340,130,,
75,2003\010010,2003,1,4,4,3,-29,10069,340,120,,
76,2003\010010,2003,1,4,5,1,-36,10078,360,110,,
77,2003\010010,2003,1,4,6,-1,-30,10087,340,120,4,
78,2003\010010,2003,1,4,7,-1,-25,10100,350,110,,
79,2003\010010,2003,1,4,8,-3,-31,10106,340,110,,
80,2003\010010,2003,1,4,9,-5,-37,10111,340,100,3,
81,2003\010010,2003,1,4,10,-8,-41,10117,330,110,,
82,2003\010010,2003,1,4,11,-12,-42,10123,320,80,,
83,2003\010010,2003,1,4,12,-14,-41,10129,320,70,4,0
84,2003\010010,2003,1,4,13,-16,-42,10133,300,80,,
85,2003\010010,2003,1,4,14,-20,-46,10135,310,80,,
86,2003\010010,2003,1,4,15,-25,-51,10136,310,80,5,
87,2003\010010,2003,1,4,16,-29,-53,10139,290,50,,
88,2003\010010,2003,1,4,17,-37,-62,10139,280,40,,
89,2003\010010,2003,1,4,18,-32,-52,10141,230,30,7,0
90,2003\010010,2003,1,4,19,-32,-55,10141,260,20,,
91,2003\010010,2003,1,4,20,-38,-67,10140,280,20,,
92,2003\010010,2003,1,4,21,-38,-67,10137,260,20,,
